PLAYER_NAME,TEAM_ABBREVIATION,FANTASY_RANK_SCORE,FANTASY_RANK_PERCENTILE,FANTASY_POINTS_PER_MIN,PCT_MINUTES_PLAYED,GP,AVG_MINUTES,FANTASY_POINTS,AVG_FANTASY_PPG
Dario Šarić,DEN,0.3560484192978165,42.592592592592595,0.5900000000000001,23.381999999999998,80,16.35,784.0,9.796000000000001
Gradey Dick,TOR,0.35412001139477234,42.38683127572017,0.39842105263157895,36.056315789473686,114,25.047368421052628,1149.5,10.08578947368421
Jamal Shead,TOR,0.3538991423929243,42.181069958847736,0.38,37.27,75,19.56,562.0,7.49
Jake LaRavia,MEM,0.3529438823503944,41.9753086419753,0.49306930693069306,29.494356435643564,101,21.334059405940597,1062.5,10.517623762376239
Dalano Banton,POR,0.35207418158223797,41.76954732510288,0.5189256198347107,27.624380165289256,121,17.911570247933884,1125.5,9.303305785123968
Adem Bona,PHI,0.3484080676849344,41.56378600823045,0.58,22.979999999999997,58,15.6,521.5,8.989999999999998
Oscar Tshiebwe,IND,0.34768332383788564,41.358024691358025,0.8518181818181817,4.509090909090909,22,13.506363636363636,249.5,11.340000000000002
Pat Connaughton,MIL,0.3468799756127007,41.1522633744856,0.428034188034188,33.033846153846156,117,19.4808547008547,956.5,8.174786324786325
Kenrich Williams,OKC,0.34652667762641376,40.94650205761317,0.51,27.445,138,15.655,1104.0,8.0
Nikola Jović,MIA,0.34632493277278076,40.74074074074074,0.53,26.065,92,22.3,1088.5,11.830000000000002
Matisse Thybulle,POR,0.3460402580569055,40.534979423868315,0.43875000000000003,32.19125,80,22.49375,789.0,9.8625
Alec Burks,MIA,0.34550818461604327,40.32921810699588,0.5142608695652174,27.013391304347827,115,18.04469565217391,1069.0,9.294782608695654
Vince Williams Jr.,MEM,0.3430367749989869,40.123456790123456,0.4892405063291139,28.355569620253167,79,24.49594936708861,967.5,12.244810126582278
Bol Bol,PHX,0.3423326719355239,39.91769547325103,0.7345569620253165,11.678481012658226,79,11.616329113924051,674.5,8.538607594936709
Marcus Sasser,DET,0.34136226941013537,39.711934156378604,0.4878125,28.215859375,128,16.888046875,1045.0,8.166328125
Neemias Queta,BOS,0.34076742384362113,39.50617283950617,0.6415555555555555,17.742444444444445,90,13.291555555555556,759.0,8.43288888888889
Ben Simmons,BKN,0.33992796433410355,39.300411522633745,0.5463636363636364,24.056818181818183,66,22.400000000000002,813.0,12.322272727272727
Kyle Lowry,PHI,0.3342200620103577,39.09465020576132,0.39789473684210525,33.28473684210527,95,24.726315789473684,948.5,9.987368421052631
Duop Reath,POR,0.33377362919729425,38.88888888888889,0.5459649122807019,23.215614035087718,114,14.763157894736844,921.0,8.080701754385965
Jordan Hawkins,NOP,0.3336219597468664,38.68312757201646,0.4254471544715447,31.338455284552843,123,20.17008130081301,1051.5,8.55
Dennis Smith Jr.,BKN,0.33308203394852676,38.477366255144034,0.48999999999999994,26.9,56,18.9,518.0,9.25
Christian Wood,LAL,0.33294304960108223,38.2716049382716,0.56,22.15,50,17.44,487.0,9.74
Karlo Matković,NOP,0.3327113226506665,38.065843621399175,0.59,20.09,42,18.82,468.5,11.15
Ronald Holland II,DET,0.3321167551122122,37.86008230452675,0.41000000000000003,32.17,81,15.629999999999999,515.0,6.360000000000001
Javonte Green,CHI,0.331702118709411,37.65432098765432,0.45740259740259737,28.908181818181824,77,19.32987012987013,695.5,9.034415584415584
